2015-06-06 13:32:23 ; 8414.5 ; RX ; 311019500 ; GULF CRYSTAL ; C6XQ8 ; TEST ; REQ ; DIRK
2015-06-06 13:32:23 ; 8414.5 ; RX ; 311019500 ; GULF CRYSTAL ; C6XQ8 ; TEST ; REQ ; JOHN-FCDPP
2015-06-06 13:32:23 ; 8414.5 ; RX ; 311019500 ; GULF CRYSTAL ; C6XQ8 ; TEST ; REQ ; MICHAEL_AOR#2
2015-06-06 13:32:24 ; 8414.5 ; TX ; 311019500 ; GULF CRYSTAL ; C6XQ8 ; TEST ; ACK ; TX1
2015-06-06 13:32:46 ; 8414.5 ; CK ; 311019500 ; GULF CRYSTAL ; C6XQ8 ; TEST ; ACK ; JOHN-FCDPP
2015-06-06 14:14:34 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; DICK-RX321
2015-06-06 14:14:35 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; JOHN-FCDPP
2015-06-06 14:14:35 ; 8414.5 ; TX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; TX1
2015-06-06 14:14:35 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; MICHAEL_AOR#2
2015-06-06 14:14:56 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; JOHN-FCDPP
2015-06-06 14:14:57 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; MICHAEL_AOR#2
2015-06-06 14:14:57 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; PERSEUS-BEL
2015-06-06 14:16:43 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; DICK-RX321
2015-06-06 14:16:43 ; 8414.5 ; TX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; TX1
2015-06-06 14:16:43 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; JOHN-FCDPP
2015-06-06 14:16:43 ; 8414.5 ; RX ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; REQ ; MICHAEL_AOR#2
2015-06-06 14:17:04 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; DICK-RX321
2015-06-06 14:17:04 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; JOHN-FCDPP
2015-06-06 14:17:04 ; 8414.5 ; CK ; 477222700 ; NYK HERCULES ; VRLQ4 ; TEST ; ACK ; MICHAEL_AOR#2
2015-06-06 14:32:59 ; 12577.0 ; RX ; 538005167 ; NAVE PULSAR ; V7BM3 ; TEST ; REQ ; JOHN-FT817
2015-06-06 14:32:59 ; 12577.0 ; RX ; 538005167 ; NAVE PULSAR ; V7BM3 ; TEST ; REQ ; DORSET_UK
2015-06-06 14:33:01 ; 12577.0 ; TX ; 538005167 ; NAVE PULSAR ; V7BM3 ; TEST ; ACK ; TX1
2015-06-06 14:33:02 ; 12577.0 ; RX ; 538005167 ; NAVE PULSAR ; V7BM3 ; TEST ; REQ ; DORSET_2
