2016-12-01 17:36:35 ; 2187.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:37:45 ; 4207.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:41:09 ; 2187.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:41:59 ; 2187.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:43:02 ; 6312.0 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:44:29 ; 8414.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:46:30 ; 12577.0 ; TX ; 005030001 ; RCC Australia ;  ; TEST ; REQ ; Snargate
2016-12-01 17:48:12 ; 2187.5 ; TX ; 002191000 ; Lyngby Radio ;  ; TEST ; REQ ; Snargate
2016-12-01 17:48:52 ; 2187.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:49:08 ; 2187.5 ; RX ; 002191000 ; Lyngby Radio ;  ; TEST ; ACK ; DORSET_2
2016-12-01 17:49:09 ; 2187.5 ; RX ; 002191000 ; Lyngby Radio ;  ; TEST ; ACK ; MAJO88BN-#1
2016-12-01 17:50:05 ; 2187.5 ; RX ; 002320001 ; Shetland Coastguard ;  ; TEST ; ACK ; DORSET_2
2016-12-01 17:50:05 ; 2187.5 ; RX ; 002320001 ; Shetland Coastguard ;  ; TEST ; ACK ; MAJO88BN-#1
2016-12-01 17:51:53 ; 4207.5 ; TX ; 002320001 ; Shetland Coastguard ;  ; TEST ; REQ ; Snargate
2016-12-01 17:52:49 ; 6312.0 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:53:42 ; 8414.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:54:48 ; 12577.0 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:55:54 ; 16804.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 17:58:41 ; 8414.5 ; RX ; 111111111 ; UNK ; UNK ; TEST ; REQ ; W2WTEST1
2016-12-01 18:00:28 ; 8414.5 ; RX ; 123456789 ; UNK ; UNK ; TEST ; REQ ; W2WTEST1
2016-12-01 18:14:31 ; 8414.5 ; RX ; 123456789 ; UNK ; UNK ; TEST ; REQ ; W2WTEST1
2016-12-01 18:20:54 ; 8414.5 ; RX ; 123456789 ; unk ; unk ; TEST ; REQ ; W2WTEST1
2016-12-01 18:20:56 ; 8414.5 ; TX ; 123456789 ; unk ; unk ; TEST ; ACK ; Snargate
2016-12-01 18:23:44 ; 6312.0 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-01 20:54:56 ; 8414.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-02 07:54:24 ; 8414.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-02 15:59:37 ; 8414.5 ; RX ; 209185000 ; SEA DISCOVERY ; 5BGR3 ; TEST ; REQ ; DORSET_UK
2016-12-02 15:59:37 ; 8414.5 ; TX ; 209185000 ; SEA DISCOVERY ; 5BGR3 ; TEST ; ACK ; Snargate
2016-12-02 15:59:41 ; 8414.5 ; RX ; 209185000 ; SEA DISCOVERY ; 5BGR3 ; TEST ; REQ ; DORSET_3
2016-12-02 16:00:03 ; 8414.5 ; CK ; 209185000 ; SEA DISCOVERY ; 5BGR3 ; TEST ; ACK ; DORSET_UK
2016-12-02 16:00:06 ; 8414.5 ; CK ; 209185000 ; SEA DISCOVERY ; 5BGR3 ; TEST ; ACK ; DORSET_3
2016-12-02 17:15:33 ; 8414.5 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-02 17:20:10 ; 12577.0 ; TX ; 219015591 ; Sailor Examiner ; XPE3307 ; TEST ; REQ ; Snargate
2016-12-02 18:06:26 ; 12577.0 ; RX ; 309509000 ; SWALLOW ACE ; C6WR3 ; J3E TP ; REQ ; DRYDEN-NEFFIES-FRANCE
2016-12-03 11:09:14 ; 6312.0 ; RX ; 255805682 ; HERMANN OLDENDORFF ; CQEF ; TEST ; REQ ; DORSET_2
2016-12-03 11:09:16 ; 6312.0 ; TX ; 255805682 ; HERMANN OLDENDORFF ; CQEF ; TEST ; ACK ; Snargate
2016-12-03 11:47:21 ; 8414.5 ; RX ; 636017577 ; MSC REEF ; D5LQ2 ; TEST ; REQ ; DORSET_UK
2016-12-03 11:47:22 ; 8414.5 ; TX ; 636017577 ; MSC REEF ; D5LQ2 ; TEST ; ACK ; Snargate
2016-12-03 11:47:26 ; 8414.5 ; RX ; 636017577 ; MSC REEF ; D5LQ2 ; TEST ; REQ ; DORSET_3
2016-12-03 11:52:24 ; 8414.5 ; RX ; 314208000 ; WILSON HUSUM ; 8PSQ ; TEST ; REQ ; DORSET_UK
2016-12-03 11:52:26 ; 8414.5 ; TX ; 314208000 ; WILSON HUSUM ; 8PSQ ; TEST ; ACK ; Snargate
2016-12-03 11:52:28 ; 8414.5 ; RX ; 314208000 ; WILSON HUSUM ; 8PSQ ; TEST ; REQ ; DORSET_3
2016-12-03 11:54:02 ; 6312.0 ; RX ; 314208000 ; WILSON HUSUM ; 8PSQ ; TEST ; REQ ; DORSET_2
2016-12-03 11:54:03 ; 6312.0 ; TX ; 314208000 ; WILSON HUSUM ; 8PSQ ; TEST ; ACK ; Snargate
2016-12-03 12:08:28 ; 12577.0 ; RX ; 311000137 ; CS JADEN ; C6AS4 ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2016-12-03 12:08:29 ; 12577.0 ; TX ; 311000137 ; CS JADEN ; C6AS4 ; TEST ; ACK ; Snargate
2016-12-03 12:17:10 ; 12577.0 ; RX ; 311000137 ; CS JADEN ; C6AS4 ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2016-12-03 12:17:10 ; 12577.0 ; TX ; 311000137 ; CS JADEN ; C6AS4 ; TEST ; ACK ; Snargate
2016-12-04 09:29:15 ; 8414.5 ; RX ; 256677000 ; X-PRESS MONTECERVINO ; 9HA3980 ; TEST ; REQ ; DORSET_UK
2016-12-04 09:29:18 ; 8414.5 ; TX ; 256677000 ; X-PRESS MONTECERVINO ; 9HA3980 ; TEST ; ACK ; Snargate
2016-12-04 09:29:19 ; 8414.5 ; RX ; 256677000 ; X-PRESS MONTECERVINO ; 9HA3980 ; TEST ; REQ ; DORSET_3
2016-12-04 09:29:43 ; 8414.5 ; CK ; 256677000 ; X-PRESS MONTECERVINO ; 9HA3980 ; TEST ; ACK ; DORSET_UK
